V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,Q_TotalDuration,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q_TotalDuration,"Meet Mr. Smith. He is a 62 year old gentleman living in Durham, NC with his family. He has been s...",Task 1: Diabetes 1. Which medication(s) is the patient currently taking for diabetes? ,2. How long has he been taking his diabetes medication(s)?,3. Has he been compliant with his diabetes medication? How do you know? ,4. You ask him about his diabetes medications and you can trust that he is telling you the truth...,5. You see that he is currently on this maximum dose. You are wondering how recently this last ch...,6. You realize that he has already taken the maximum dose of metformin for awhile without much ch...,7. What was the starting dose of allopurinol prescribed for Mr. Smith? What was the last prescrib...,8. Who prescribed his last refill of allopurinol? ,9. You see a prescription but wonder if he has picked up his last prescription of allopurinol. Ba...,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-a. No other medications have been prescribed for gout.,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-b. Probenecid,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-c. Naproxen,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-d. Bupropion,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-e. Colchicine,"11. After asking the patient about his gout, he explains that he has not picked up his gout medic...",Task 2: Hypertension 1. Mr. Smith was diagnosed with hypertension 20 years ago. What was the firs...,2. The patient’s blood pressure did not decrease in the 3 years after he was prescribed the thiaz...,"3. Over time, Mr. Smith’s blood pressure still continued to increase despite his compliance with...",4. What do you suspect happened with his new antihypertensive regimen of HCTZ + ACE inhibitor tha...,5. Despite Mr. Smith’s diligent adherence to his exercise and diet regimen and his past medicatio...,Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-a. Selective serotonin reuptake inhibitors (SSRIs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-b. Selective norepinephrine reuptake inhibitors (SNRIs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-c. Tricyclic antidepressants (TCAs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-d. Monoamine oxidase inhibitors (MAOIs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-e. Atypical antidepressants,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -a. Bupropion,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -b. Sertraline,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -c. Fluoxetine,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -d. Duloxetine,3. You ask Mr. Smith about the details of his depression medication changes in the past but he ha...,4. You’d like to know what date that provider changed the medication so you can investigate the n...,5. Why do you think the provider chose bupropion to prescribe in 2006? ,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2XnUvC8ic09Hcsf,Default Response Set,Anonymous,,,152.133.7.64,0,2016-06-20 08:48:50,2016-06-20 08:58:09,1,20,1,0,558,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",b. No,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"a. Yes, I can see that he has filled his prescriptions on his medication display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,a. He was non-compliant with this medication.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,a. Bupropion,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
R_24i1R2hXleC8VUT,Default Response Set,Anonymous,,,152.133.7.64,0,2016-06-20 08:49:12,2016-06-20 09:04:11,1,18,1,0,898,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",b. No,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,a. Calcium channel blockers,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
R_1CrP6Tk1616KY6Q,Default Response Set,Anonymous,,,75.189.154.68,0,2016-06-20 08:59:06,2016-06-20 09:10:37,1,22,1,0,690,1,a. metformin,d. For the last 6 years,"a. Yes, he told me he was compliant with his medication regimen but I cannot see whether he has filled his prescription at the pharmacy.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,c. Despite his full compliance his blood pressure did not decrease so his thiazide was replaced with a new medication.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.037796020508,-78.985801696777,-1,
R_3ha6PnKzQTA6Db7,Default Response Set,Anonymous,,,152.16.191.34,0,2016-06-20 09:12:26,2016-06-20 09:22:44,1,22,1,0,617,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),b. Selective norepinephrine reuptake inhibitors (SNRIs),,d. Monoamine oxidase inhibitors (MAOIs),,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
R_Z2yrkB1TAikraLv,Default Response Set,Anonymous,,,152.16.191.21,0,2016-06-20 09:14:27,2016-06-20 09:24:25,1,20,1,0,597,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",b. ACE Inhibitor,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),b. Selective norepinephrine reuptake inhibitors (SNRIs),,,,,b. Sertraline,,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
R_2EtROLROW7CghTN,Default Response Set,Anonymous,,,199.90.157.11,0,2016-06-20 09:13:20,2016-06-20 09:27:04,1,23,1,0,823,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.683807373047,-78.663597106934,-1,
R_3JCOAPioqxh8sQw,Default Response Set,Anonymous,,,107.14.49.0,0,2016-06-20 09:17:44,2016-06-20 09:33:27,1,22,1,0,942,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.22770690918,-80.843902587891,-1,
R_2dupxjSYtUj4nqS,Default Response Set,Anonymous,,,152.16.51.248,0,2016-06-20 09:27:27,2016-06-20 09:39:06,1,21,1,0,698,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,a. Calcium channel blockers,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.995407104492,-78.901901245117,-1,
R_r2NOYlr8hR0tVzX,Default Response Set,Anonymous,,,152.16.51.248,0,2016-06-20 09:39:43,2016-06-20 09:41:40,1,22,1,0,117,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.995407104492,-78.901901245117,-1,
