V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,Q_TotalDuration,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q_TotalDuration,"Meet Mr. Smith. He is a 62 year old gentleman living in Durham, NC with his family. He has been s...",Task 1: Diabetes 1. Which medication(s) is the patient currently taking for diabetes? ,2. How long has he been taking his diabetes medication(s)?,3. Has he been compliant with his diabetes medication? How do you know? ,4. You ask him about his diabetes medications and you can trust that he is telling you the truth...,5. You see that he is currently on this maximum dose. You are wondering how recently this last ch...,6. You realize that he has already taken the maximum dose of metformin for awhile without much ch...,7. What was the starting dose of allopurinol prescribed for Mr. Smith? What was the last prescrib...,8. Who prescribed his last refill of allopurinol? ,9. You see a prescription but wonder if he has picked up his last prescription of allopurinol. Ba...,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-a. No other medications have been prescribed for gout.,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-b. Probenecid,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-c. Naproxen,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-d. Bupropion,10. He did not pick up his last allopurinol prescription at the pharmacy. What other agents was h...-e. Colchicine,"11. After asking the patient about his gout, he explains that he has not picked up his gout medic...",Task 2: Hypertension 1. Mr. Smith was diagnosed with hypertension 20 years ago. What was the firs...,2. The patient’s blood pressure did not decrease in the 3 years after he was prescribed the thiaz...,"3. Over time, Mr. Smith’s blood pressure still continued to increase despite his compliance with...",4. What do you suspect happened with his new antihypertensive regimen of HCTZ + ACE inhibitor tha...,5. Despite Mr. Smith’s diligent adherence to his exercise and diet regimen and his past medicatio...,Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-a. Selective serotonin reuptake inhibitors (SSRIs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-b. Selective norepinephrine reuptake inhibitors (SNRIs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-c. Tricyclic antidepressants (TCAs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-d. Monoamine oxidase inhibitors (MAOIs),Task 3: Depression  1. You continue with your check-up. The patient has a long-standing history o...-e. Atypical antidepressants,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -a. Bupropion,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -b. Sertraline,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -c. Fluoxetine,2. Which drugs have been escalated in dose at least twice? (Check all that apply.) -d. Duloxetine,3. You ask Mr. Smith about the details of his depression medication changes in the past but he ha...,4. You’d like to know what date that provider changed the medication so you can investigate the n...,5. Why do you think the provider chose bupropion to prescribe in 2006? ,LocationLatitude,LocationLongitude,LocationAccuracy,
R_daT0evjawQ5bEGd,Default Response Set,Anonymous,,,174.109.101.13,0,2016-06-20 08:26:10,2016-06-20 08:45:24,1,21,1,0,1153,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),b. Selective norepinephrine reuptake inhibitors (SNRIs),,,,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.995407104492,-78.901901245117,-1,
R_2afd5foOg3byOOJ,Default Response Set,Anonymous,,,199.90.157.11,0,2016-06-20 09:07:27,2016-06-20 09:16:43,1,22,1,0,556,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.683807373047,-78.663597106934,-1,
R_3MlKi7bMbSaR92P,Default Response Set,Anonymous,,,152.16.191.31,0,2016-06-20 09:10:06,2016-06-20 09:24:35,1,22,1,0,869,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
R_24hJ9BV3sMmtZSK,Default Response Set,Anonymous,,,152.3.34.25,0,2016-06-20 09:11:21,2016-06-20 09:27:46,1,23,1,0,985,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.995407104492,-78.901901245117,-1,
R_20MPpOwX1cizqJs,Default Response Set,Anonymous,,,24.126.64.131,0,2016-06-20 09:27:27,2016-06-20 09:40:46,1,21,1,0,799,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",39.295196533203,-76.623100280762,-1,
R_3DdTEd7Ilqa7u10,Default Response Set,Anonymous,,,71.77.77.72,0,2016-06-20 10:05:08,2016-06-20 10:17:06,1,22,1,0,718,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,d. I would not change anything in his treatment regimen.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.037796020508,-78.985801696777,-1,
R_1kGlv6MI6xBoxUy,Default Response Set,Anonymous,,,75.189.147.161,0,2016-06-20 10:37:09,2016-06-20 10:46:53,1,21,1,0,583,1,a. metformin,b. For the last year,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.037796020508,-78.985801696777,-1,
R_302k0PlBmulza81,Default Response Set,Anonymous,,,98.26.53.139,0,2016-06-20 10:53:29,2016-06-20 11:02:12,1,19,1,0,523,1,a. metformin,d. For the last 6 years,"d. No, he told me he was NOT compliant with his medication regimen and I can see when he missed his prescription refill at the pharmacy in this display.",b. No,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,c. He was taking other medications that decreased the efficacy of these drugs.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,a. Bupropion,,,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.037796020508,-78.985801696777,-1,
R_23VIpA88Sr3Brhh,Default Response Set,Anonymous,,,75.137.67.250,0,2016-06-20 11:27:57,2016-06-20 11:41:09,1,16,1,0,791,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",b. No,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,d. You did!,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,d. Bupropion,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",b. ACE Inhibitor,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,b. ACE inhibitors,c. He was taking other medications that decreased the efficacy of these drugs.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,a. Bupropion,b. Sertraline,,,a. Dr. Bradley,"d. December 17, 2007","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.399505615234,-78.975997924805,-1,
